[13B-REW 5.08][DL-340XB][AEM 30-0300 X Series]
Time(s)	RPM	PIM	PIM V	TPS V	InjFrPr	Inj +/-	IGL	IGT	FuelT	Oil	PC%	WG%	WtrT	AirT	Knock	BatV	Speed	???(2)	O2S	???	InjFrSc	AN1-AN2 Wide Band O2	AN2 raw	
0	0	9877	2.626	.673	0	0	-25	-25	175	51	1	1	29	20	0	12.5	0	0	3.402	76	0	15.39	0.000	
.046	0	9845	2.622	.673	0	0	-25	-25	175	51	1	1	29	20	0	12.5	0	0	3.523	76	0	15.68	0.000	
.096	0	9845	2.622	.673	0	0	-25	-25	175	51	1	1	29	20	0	12.5	0	0	3.372	76	0	15.32	0.000	
.145	0	9877	2.626	.673	0	0	-25	-25	175	51	1	1	29	20	0	12.5	0	0	3.493	76	0	15.61	0.000	
.197	0	9845	2.622	.673	0	0	-25	-25	175	51	1	1	29	20	0	12.5	0	0	3.543	76	0	15.73	0.000	
.245	0	9877	2.626	.673	0	0	-25	-25	175	51	1	1	29	20	0	12.5	0	0	3.412	76	0	15.42	0.000	
.298	0	9845	2.622	.668	0	0	-25	-25	175	51	1	1	29	20	0	12.5	0	0	3.402	76	0	15.39	0.000	
.349	0	9845	2.622	.673	0	0	-25	-25	175	51	1	1	29	20	0	12.5	0	0	3.503	76	0	15.63	0.000	
.398	0	9845	2.622	.673	0	0	-25	-25	175	51	1	1	29	20	0	12.5	0	0	3.402	76	0	15.39	0.000	
.446	0	9845	2.622	.668	0	0	-25	-25	175	51	1	1	29	20	0	12.5	0	0	3.493	76	0	15.61	0.000	
.498	0	9845	2.622	.673	0	0	-25	-25	175	51	1	1	29	20	0	12.5	0	0	3.493	76	0	15.61	0.000	
.547	0	9845	2.622	.673	0	0	-25	-25	175	51	1	1	29	20	0	12.5	0	0	3.503	76	0	15.63	0.000	
.598	0	9845	2.622	.673	0	0	-25	-25	175	51	1	1	29	20	0	12.5	0	0	3.543	76	0	15.73	0.000	
.646	0	9845	2.622	.668	0	0	-25	-25	175	51	1	1	29	20	0	12.5	0	0	3.483	76	0	15.58	0.000	
.698	0	9877	2.626	.673	0	0	-25	-25	175	51	1	1	29	20	0	12.5	0	0	3.442	76	0	15.49	0.000	
.748	0	9845	2.622	.673	0	0	-25	-25	175	51	1	1	29	20	0	12.5	0	0	3.553	76	0	15.75	0.000	
.798	0	9845	2.622	.673	0	0	-25	-25	175	51	1	1	29	20	0	12.5	0	0	3.473	76	0	15.56	0.000	
.846	0	9845	2.622	.673	0	0	-25	-25	175	51	1	1	29	20	0	12.5	0	0	3.422	76	0	15.44	0.000	
.897	0	9845	2.622	.673	0	0	-25	-25	175	51	1	1	29	20	0	12.5	0	0	3.513	76	0	15.66	0.000	
.95	0	9845	2.622	.673	0	0	-25	-25	175	51	1	1	29	20	0	12.5	0	0	3.533	76	0	15.7	0.000	
.998	0	9845	2.622	.673	0	0	-25	-25	175	51	1	1	29	20	0	12.5	0	0	3.462	76	0	15.53	0.000	
1.046	0	9845	2.622	.673	0	0	-25	-25	175	51	1	1	29	20	0	12.5	0	0	3.573	76	0	15.8	0.000	
1.099	0	9845	2.622	.673	0	0	-25	-25	175	51	1	1	29	20	0	12.5	0	0	3.402	76	0	15.39	0.000	
1.146	0	9845	2.622	.673	0	0	-25	-25	175	51	1	1	29	20	0	12.5	0	0	3.503	76	0	15.63	0.000	
1.198	0	9845	2.622	.673	0	0	-25	-25	175	51	1	1	29	20	0	12.5	0	0	3.452	76	0	15.51	0.000	
1.246	0	9845	2.622	.673	0	0	-25	-25	175	51	1	1	29	20	0	12.5	0	0	3.493	76	0	15.61	0.000	
1.297	0	9845	2.622	.673	0	0	-25	-25	175	51	1	1	29	20	0	12.5	0	0	3.573	76	0	15.8	0.000	
1.348	0	9845	2.622	.673	0	0	-25	-25	175	51	1	1	29	20	0	12.5	0	0	3.503	76	0	15.63	0.000	
1.396	0	9845	2.622	.673	0	0	-25	-25	175	51	1	1	29	20	0	12.5	0	0	3.442	76	0	15.49	0.000	
1.448	0	9845	2.622	.673	0	0	-25	-25	175	51	1	1	29	20	0	12.5	0	0	3.503	76	0	15.63	0.000	
1.5	0	9845	2.622	.673	0	0	-25	-25	175	51	1	1	29	20	0	12.5	0	0	3.493	76	0	15.61	0.000	
1.548	0	9845	2.622	.673	0	0	-25	-25	175	51	1	1	29	20	0	12.5	0	0	3.402	76	0	15.39	0.000	
1.598	0	9845	2.622	.673	0	0	-25	-25	175	51	1	1	29	20	0	12.5	0	0	3.473	76	0	15.56	0.000	
1.651	0	9877	2.626	.673	0	0	-25	-25	175	51	1	1	29	20	0	12.5	0	0	3.483	76	0	15.58	0.000	
1.699	0	9845	2.622	.673	0	0	-25	-25	175	51	1	1	29	20	0	12.5	0	0	3.473	76	0	15.56	0.000	
1.749	0	9845	2.622	.673	0	0	-25	-25	175	51	1	1	29	20	0	12.5	0	0	3.483	76	0	15.58	0.000	
1.8	0	9877	2.626	.673	0	0	-25	-25	175	51	1	1	29	20	0	12.5	0	0	3.573	76	0	15.8	0.000	
1.85	0	9845	2.622	.668	0	0	-25	-25	175	51	1	1	29	20	0	12.5	0	0	3.432	76	0	15.46	0.000	
1.9	0	9845	2.622	.673	0	0	-25	-25	175	51	1	1	29	20	0	12.5	0	0	3.483	76	0	15.58	0.000	
1.948	0	9877	2.626	.673	0	0	-25	-25	175	51	1	1	29	20	0	12.5	0	0	3.432	76	0	15.46	0.000	
1.998	0	9877	2.626	.673	0	0	-25	-25	175	51	1	1	29	20	0	12.5	0	0	3.493	76	0	15.61	0.000	
2.048	0	9845	2.622	.673	0	0	-25	-25	175	51	1	1	29	20	0	12.5	0	0	3.412	76	0	15.42	0.000	
2.099	0	9877	2.626	.673	0	0	-25	-25	175	51	1	1	29	20	0	12.5	0	0	3.493	76	0	15.61	0.000	
2.147	0	9845	2.622	.673	0	0	-25	-25	175	51	1	1	29	20	0	12.5	0	0	3.422	76	0	15.44	0.000	
2.198	0	9845	2.622	.673	0	0	-25	-25	175	51	1	1	29	20	0	12.5	0	0	3.452	76	0	15.51	0.000	
2.248	0	9845	2.622	.673	0	0	-25	-25	175	51	1	1	29	20	0	12.5	0	0	3.473	76	0	15.56	0.000	
2.299	0	9845	2.622	.673	0	0	-25	-25	175	51	1	1	29	20	0	12.5	0	0	3.503	76	0	15.63	0.000	
2.349	0	9845	2.622	.673	0	0	-25	-25	175	51	1	1	29	20	0	12.5	0	0	3.452	76	0	15.51	0.000	
2.399	0	9877	2.626	.673	0	0	-25	-25	175	51	1	1	29	20	0	12.5	0	0	3.462	76	0	15.53	0.000	
2.447	0	9845	2.622	.668	0	0	-25	-25	175	51	1	1	29	20	0	12.5	0	0	3.377	76	0	15.33	0.000	
2.498	0	9845	2.622	.673	0	0	-25	-25	175	51	1	1	29	20	0	12.5	0	0	3.452	76	0	15.51	0.000	
2.55	0	9845	2.622	.673	0	0	-25	-25	175	51	1	1	29	20	0	12.5	0	0	3.493	76	0	15.61	0.000	
2.597	0	9845	2.622	.673	0	0	-25	-25	175	51	1	1	29	20	0	11.1	0	0	2.727	76	0	13.79	0.000	
2.647	0	9749	2.602	.673	0	0	-25	-25	175	51	1	1	29	20	0	8.6	0	0	2.812	76	0	13.99	0.000	
2.699	0	9589	2.573	.668	0	0	-25	-25	175	51	1	1	29	20	0	9.4	0	0	3.004	76	0	14.45	0.000	
2.748	0	9629	2.58	.673	0	0	9	5	175	51	1	1	29	20	1	9.7	0	1000	3.155	76	0	14.81	0.000	
2.798	0	9629	2.585	.673	0	0	9	5	175	51	1	1	29	20	0	10	0	1000	3.125	76	0	14.73	0.000	
2.848	0	9629	2.597	.727	0	0	9	5	175	51	1	1	29	20	0	10.2	0	1000	3.145	76	0	14.78	0.000	
2.9	0	9629	2.602	.878	0	0	9	5	175	51	1	1	29	20	0	10	0	1000	3.226	76	0	14.97	0.000	
2.948	0	9629	2.604	1.049	0	0	9	5	175	51	1	1	29	20	0	10.2	0	1000	3.261	76	0	15.06	0.000	
2.997	0	9629	2.613	1.127	0	0	9	5	175	51	1	1	29	20	0	10.3	0	1000	3.311	76	0	15.18	0.000	
3.048	218	9829	2.618	1.127	0	0	9	5	175	51	1	1	29	20	0	10.2	0	1000	3.336	76	0	15.24	0.000	
3.098	218	9829	2.619	1.127	19.558	0	9	5	175	51	1	1	29	20	0	10.4	0	1000	3.417	76	0	15.43	0.000	
3.15	230	9829	2.617	1.132	19.558	0	9	5	175	51	1	1	29	20	1	10.3	0	1000	3.372	76	0	15.32	0.000	
3.197	230	9829	2.617	1.137	19.558	0	9	5	175	51	1	1	29	20	0	10.3	0	1000	3.412	76	0	15.42	0.000	
3.247	230	9829	2.617	1.137	19.558	0	9	5	175	51	1	1	29	20	0	10.5	0	1000	3.387	76	0	15.36	0.000	
3.296	230	9821	2.617	1.142	19.558	0	9	5	175	51	1	1	29	20	0	10.3	0	1000	3.402	76	0	15.39	0.000	
3.347	230	9821	2.617	1.152	18.363	0	9	5	175	51	1	1	29	20	0	10.5	0	1000	3.704	76	0	16.11	0.000	
3.397	238	9837	2.619	1.171	18.363	0	9	5	175	51	1	1	29	20	1	10.4	0	1000	3.523	76	0	15.68	0.000	
3.447	238	9837	2.619	1.171	18.363	0	9	5	175	51	1	1	29	20	0	10.4	0	1000	3.493	76	0	15.61	0.000	
3.496	238	9837	2.621	1.215	18.363	0	9	5	175	51	1	1	29	20	0	10.7	0	1000	3.654	76	0	15.99	0.000	
3.549	273	9837	2.622	1.235	15.582	0	9	5	175	51	1	1	29	20	0	10.8	0	1000	3.634	76	0	15.94	0.000	
3.599	347	9821	2.614	1.24	15.582	0	9	5	175	51	1	1	29	20	1	10.8	0	1000	3.81	76	0	16.36	0.000	
3.646	347	9821	2.607	1.245	15.582	0	9	5	175	51	1	1	29	20	0	11	0	1000	3.73	76	0	16.17	0.000	
3.697	441	9773	2.607	1.25	7.316	0	9	5	175	51	1	1	29	20	0	11.1	0	1000	3.851	76	0	16.46	0.000	
3.748	549	9765	2.604	1.284	7.316	0	9	5	175	51	1	1	29	20	0	11.3	0	1000	4.012	76	0	16.84	0.000	
3.8	604	9741	2.603	1.333	20.312	441	10	6	175	51	1	1	29	20	0	11.3	0	668	3.901	76	0	16.58	0.000	
3.848	515	9781	2.612	1.337	20.312	440	9	5	175	51	1	1	29	20	0	11.3	0	668	3.82	76	0	16.39	0.000	
3.899	440	9813	2.615	1.337	19.945	440	9	5	175	51	1	1	29	20	1	11.3	0	668	3.906	76	0	16.59	0.000	
3.948	440	9813	2.613	1.337	19.945	440	9	5	175	51	1	1	29	20	0	11.4	0	668	3.412	76	0	15.42	0.000	
3.998	440	9805	2.614	1.337	19.945	440	9	5	175	51	1	1	29	20	0	11.3	0	668	3.155	76	0	14.81	0.000	
4.049	384	9821	2.617	1.337	8.824	440	9	5	175	51	1	1	29	20	1	11.2	0	1000	3.155	76	0	14.81	0.000	
4.098	384	9821	2.618	1.342	8.824	440	9	5	175	51	1	1	29	20	0	11.1	0	1000	3.024	76	0	14.49	0.000	
4.148	316	9829	2.617	1.342	8.824	440	9	5	175	51	1	1	29	20	1	10.9	0	1000	2.868	76	0	14.12	0.000	
