[13B-REW 5.08][DL-340XB][AEM 30-0334 X Series]
Time(s)	Clock    	Switches        	RPM	PIM	PIM V	TPS V	InjFrPr	Inj +/-	IGL	IGT	FuelT	Oil	PC%	WG%	WtrT	AirT	Knock	BatV	Speed	???(2)	O2S	???	InjFrSc	AN1-AN2 Wide Band O2	AN2 raw	
0	20:30:15.825	0000100000111011	1566	6557	1.997	.537	2.773	272	24	23	175	16	1	1	58	36	2	13.9	0	142	4.35	76	0	17.64	0.000	
.043	20:30:15.868	0000100000111011	1499	6613	2.011	.537	3.054	272	24	23	175	16	1	1	58	36	0	13.9	0	142	4.279	76	0	17.48	0.000	
.094	20:30:15.919	0000100000111011	1494	6773	2.036	.537	3.359	272	23	22	175	16	1	1	58	36	0	14	0	142	4.168	76	0	17.21	0.000	
.146	20:30:15.971	0000100000111011	1524	6813	2.049	.537	3.312	272	24	22	175	16	1	1	58	36	0	14	0	142	4.279	76	0	17.48	0.000	
.194	20:30:16.019	0000100000111011	1583	6757	2.034	.537	3.101	272	24	22	175	16	1	1	58	36	2	13.9	0	142	4.4	76	0	17.76	0.000	
.243	20:30:16.068	0000100000111011	1589	6629	2.006	.537	2.937	272	24	23	175	16	1	1	58	36	0	13.9	0	142	4.4	76	0	17.76	0.000	
.293	20:30:16.118	0000100000111011	1544	6589	2.004	.537	3.062	272	24	23	175	16	1	1	58	36	0	13.9	0	142	4.4	76	0	17.76	0.000	
.343	20:30:16.168	0000100000111011	1506	6661	2.031	.537	3.25	272	24	23	175	16	1	1	58	36	0	13.9	0	142	4.4	76	0	17.76	0.000	
.394	20:30:16.219	0000100000111011	1502	6773	2.036	.537	3.304	272	24	22	175	16	1	1	58	36	0	13.9	0	142	4.4	76	0	17.76	0.000	
.445	20:30:16.270	0000100000111011	1483	6797	2.041	.537	3.25	272	23	22	175	16	1	1	58	36	0	13.9	0	142	4.4	76	0	17.76	0.000	
.495	20:30:16.320	0000100000111011	1481	6813	2.046	.537	3.359	272	23	22	175	16	1	1	58	36	0	13.9	0	142	4.4	76	0	17.76	0.000	
.546	20:30:16.371	0000100000111011	1505	6853	2.048	.537	3.453	272	24	22	175	16	1	1	58	36	0	14	0	142	4.4	76	0	17.76	0.000	
.592	20:30:16.417	0000100000111011	1402	6949	2.073	.537	3.601	272	23	21	175	16	1	1	58	36	0	13.9	0	142	4.4	76	0	17.76	0.000	
.642	20:30:16.467	0000100000111011	1399	7029	2.091	.537	3.921	272	21	20	175	16	1	1	58	36	0	13.9	0	142	4.4	76	0	17.76	0.000	
.693	20:30:16.518	0000100000111011	1430	7085	2.086	.537	3.765	272	22	20	175	18	1	1	58	36	0	14	0	142	4.4	76	0	17.76	0.000	
.745	20:30:16.570	0000100000111011	1492	7005	2.08	.537	3.437	272	22	21	175	18	1	1	58	36	0	13.9	0	142	4.4	76	0	17.76	0.000	
.793	20:30:16.618	0000100000111011	1526	6941	2.062	.537	3.421	272	24	22	175	17	1	1	58	36	2	14	0	142	4.4	76	0	17.76	0.000	
.844	20:30:16.669	0000100000111011	1539	6789	2.037	.537	3.242	272	24	22	175	16	1	1	58	36	0	13.9	0	142	4.4	76	0	17.76	0.000	
.895	20:30:16.720	0000100000111011	1494	6757	2.034	.537	3.14	272	23	22	175	16	1	1	58	36	0	14	0	142	4.4	76	0	17.76	0.000	
.946	20:30:16.771	0000100000111011	1487	6789	2.045	.537	3.281	272	23	22	175	16	1	1	58	36	0	14	0	142	4.4	76	0	17.76	0.000	
.994	20:30:16.819	0000100000111011	1517	6861	2.054	.537	3.335	272	24	22	175	16	1	1	58	36	0	14	0	142	4.4	76	0	17.76	0.000	
1.044	20:30:16.869	0000100000111011	1504	6861	2.049	.537	3.25	272	24	22	175	16	1	1	58	36	0	14	0	142	4.4	76	0	17.76	0.000	
1.095	20:30:16.920	0000100000111011	1553	6781	2.038	.537	3.234	272	24	22	175	16	1	1	58	36	0	13.9	0	142	4.4	76	0	17.76	0.000	
1.143	20:30:16.968	0000100000111011	1585	6797	2.038	.537	3.14	272	24	22	175	16	1	1	58	36	1	13.9	0	142	4.4	76	0	17.76	0.000	
1.193	20:30:17.018	0000100000111011	1581	6709	2.02	.537	2.96	272	24	22	175	16	1	1	58	36	0	13.9	0	142	4.4	76	0	17.76	0.000	
1.243	20:30:17.068	0000100000111011	1596	6637	1.997	.537	2.875	272	24	23	175	16	1	1	58	36	0	14	0	142	4.4	76	0	17.76	0.000	
1.294	20:30:17.119	0000100000111011	1563	6541	2.001	.537	2.929	272	24	23	175	16	1	1	58	36	0	14	0	142	4.4	76	0	17.76	0.000	
1.346	20:30:17.171	0000100000111011	1467	6717	2.026	.537	3.257	272	24	22	175	16	1	1	58	36	0	13.9	0	142	4.4	76	0	17.76	0.000	
1.395	20:30:17.220	0000100000111011	1465	6861	2.058	.537	3.343	272	23	21	175	16	1	1	58	36	0	14	0	142	4.4	76	0	17.76	0.000	
1.443	20:30:17.268	0000100000111011	1534	6869	2.055	.537	3.375	272	24	22	175	16	1	1	58	36	0	14	0	142	4.4	76	0	17.76	0.000	
1.493	20:30:17.318	0000100000111011	1549	6837	2.052	.537	3.195	272	24	22	175	16	1	1	58	36	3	14	0	142	4.4	76	0	17.76	0.000	
1.545	20:30:17.370	0000100000111011	1593	6709	2.016	.537	3.023	272	24	22	175	16	1	1	58	36	1	13.9	0	142	4.4	76	0	17.76	0.000	
1.593	20:30:17.418	0000100000111011	1549	6637	2.007	.537	2.882	272	24	23	175	16	1	1	58	36	0	14	0	142	4.4	76	0	17.76	0.000	
